Part,Value,Device,Package,Description
R,N-CHANNEL,NTD4969NT4G,TO-252-3,N-Channel MOSFET
G,N-CHANNEL,NTD4969NT4G,TO-252-3,N-Channel MOSFET
B,N-CHANNEL,NTD4969NT4G,TO-252-3,N-Channel MOSFET
C1,10uF,CAP_POL1206-KIT,EIA3216-KIT,Tantalum Capacitor Polarized
C2,10uF,CAP_POL1206-KIT,EIA3216-KIT,Tantalum Capacitor Polarized
ESP-12E,ESP-12E,ESP-12,ESP-12,ESP8266 Module
IC1,LM1117,AZ1117CH-3.3TRG1,SOT223,3.3V Voltage Regulator LM1117
ON,SWITCH-MOMENTARY-212MM,SWITCH-MOMENTARY-212MM,TACTILE-PTH-12MM,12mm Tactile Switch with Button Cap
UP,SWITCH-MOMENTARY-212MM,SWITCH-MOMENTARY-212MM,TACTILE-PTH-12MM,12mm Tactile Switch with Button Cap
DN,SWITCH-MOMENTARY-212MM,SWITCH-MOMENTARY-212MM,TACTILE-PTH-12MM,12mm Tactile Switch with Button Cap
OF,SWITCH-MOMENTARY-212MM,SWITCH-MOMENTARY-212MM,TACTILE-PTH-12MM,12mm Tactile Switch with Button Cap
OUT,"MKDSN1,5/4-5,08","MKDSN1,5/4-5,08","MKDSN1,5/4-5,08",4-Contact Screw Terminal
PWR,"MKDSN1,5/2-5,08","MKDSN1,5/2-5,08","MKDSN1,5/2-5,08",2-Contact Screw Terminal
R1,10k,RK73B2ATTD103J,0805,10k-Ohm Resistor
R2,10k,RK73B2ATTD103J,0805,10k-Ohm Resistor
R3,10k,RK73B2ATTD103J,0805,10k-Ohm Resistor
R4,10k,RK73B2ATTD103J,0805,10k-Ohm Resistor
R5,10k,RK73B2ATTD103J,0805,10k-Ohm Resistor
R6,0R,RK73Z2ATTD,0805,0-Ohm Resistor (Jumper)
R7,0R,RK73Z2ATTD,0805,0-Ohm Resistor (Jumper)
R8,0R,RK73Z2ATTD,0805,0-Ohm Resistor (Jumper)
R9,10k,RK73B2ATTD103J,0805,10k-Ohm Resistor
R10,10k,RK73B2ATTD103J,0805,10k-Ohm Resistor
R11,10k,RK73B2ATTD103J,0805,10k-Ohm Resistor
R12,10k,RK73B2ATTD103J,0805,10k-Ohm Resistor
R13,10k,RK73B2ATTD103J,0805,10k-Ohm Resistor
SV1,,FE05W,FE05W,5x1 Right-Angle Header
